street,town,county,postcode,country,ukregion
25 Helpston Road, Ailsworth,Cambridgeshire, PE5 7AE,UK,South East
87 Beech Avenue, Alfreton,Derbyshire, DE55 7EX,UK,East Midlands
2A Everest Close, Arlesey,Bedfordshire, SG15 6TR,UK,East Midlands
89 Poplar Street, Ashington,Northumberland, NE63 0AT,UK,North East
4 Rippleside, Basildon,Essex, SS14 1UA,UK,South East
7 Talbot Street, Batley,West Yorkshire, WF17 5AW,UK,Yorkshire & Humber
7 St Marys Acre, Bearley,Warwickshire, CV37 0SY,UK,West Midlands
24 Coquetdale Place, Bedlington,Northumberland, NE22 5JF,UK,North East
25 Newby Close, Bedlington,Northumberland, NE22 5YT,UK,North East
"Ground Floor Flat, 16 Bedford Avenue", Bexhill-On-Sea,East Sussex, TN40 1NG,UK,South East
2 Archer Court, Bishop Norton,Lincolnshire , LN8 2BT,UK,East Midlands
"Unit 308, Daisyfield Mill, Appleby Street", Blackburn,Lancashire, BB1 3BL,UK,Yorkshire & Humber
"Flat 31,  Streete Court, 22 Victoria Drive", Bognor Regis,West Sussex, PO21 2RL,UK,South East
10 Cecilia Street, Bolton,Greater Manchester, BL3 2AU,UK,North West
14 Southbourne Drive, Bourne End,Buckinghamshire, SL8 5RZ,UK,South East
129 Parkwood Road, Bournemouth,Dorset, BH5 2BT,UK,South West
"Laverack Hall Farm, High Busy Lane", Bradford,West Yorkshire, BD10 8UD,UK,Yorkshire & Humber
1 Hereford Drive, Braintree,Essex, CM7 9FX,UK,South East
2 Whitefield Mews, Bristol,Bristol, BS5 7FJ,UK,South West
32 Abbotsbury Road, Broadstone,Dorset, BH18 9DA,UK,South West
12 Station Road, Buckfastleigh,Devon, TQ11 0BU,UK,South West
10 Gibside Crescent, Burnopfield,Durham, NE16 6PB,UK,North East
3 Elizabeth Road, Cannock,Staffordshire, WS11 4RE,UK,West Midlands
30 Notley Street, Canterbury,Kent, CT1 1LX,UK,South East
1 High Street, Castle Cary,Somerset, BA7 7AN,UK,South West
34 King William Drive, Cheltenham,Gloucestershire, GL53 7RP,UK,South West
1 Old Houses, Chesterfield,Derbyshire, S41 0EH,UK,East Midlands
89 Fuller Street, Cleethorpes,Lincolnshire , DN35 7QB,UK,Yorkshire & Humber
5 Deveron Walk, Corby,Northamptonshire, NN17 2JX,UK,East Midlands
8 Sixpence Close, Coventry,Warwickshire, CV4 8HL,UK,West Midlands
87 Alexandra Road, Crosby,Merseyside, L23 7TE,UK,North West
Ty Cenin, Dyffryn Ardudwy,Gwynedd, LL44 2DG,UK,Wales
"17 Crest Drive,  Enfield",London,Greater London, EN3 5QD,UK,London
"Fole Farm, Uttoxeter Road", Fole,Staffordshire, ST14 5EF,UK,West Midlands
"Cuckoo Cottage, Beggar Hill", Fryerning,Essex, CM4 0PH,UK,East
4 Dulverton Drive, Furzton,Buckinghamshire, MK4 1DE,UK,South East
11 Victoria Road, Guiseley,West Yorkshire, LS20 8DH,UK,Yorkshire & Humber
7 Union Close, Hailsham,East Sussex, BN27 3HQ,UK,South East
1A Green Road, Hall Green,West Midlands, B28 8BZ,UK,West Midlands
